feature,importance
skin_temperature,0.152471600322062
body_temperature,0.14532793615769443
total_sleep,0.14463844279859334
blood_sugar,0.1438767569105599
light_sleep,0.14027949991589733
walk,0.1334202836939096
deep_sleep,0.11566972622720612
rem_sleep,0.11486322492431213
heart_beat,0.10487277009236393
stick_sensor,0.09869437254974109
hrv,0.08998541559623609
oxygen_saturation,0.0809272066640449
screen_time,0.07332932100318415
moving_distance,0.032761430208675196
lux_sensor,0.009742621967414895
bed_time,2.484189623875159e-17
wakeup_time,2.1898748108701794e-17
blood_pressure,0.0
