target,method,coord_type,n_groups,n_features,c_index,log_likelihood,aic,groups
anxiety,sequential,polar,5,10,0.6455887732108199,-1287.5936679614133,2595.1873359228266,"[""['rem_sleep', 'walk']"", ""['body_temperature', 'oxygen_saturation']"", ""['stick_sensor', 'hrv']"", ""['skin_temperature', 'light_sleep']"", ""['blood_sugar', 'heart_beat']""]"
anxiety,sequential,spherical,3,9,0.6362564386228354,-1287.578769253494,2593.157538506988,"[""['rem_sleep', 'walk', 'body_temperature']"", ""['oxygen_saturation', 'stick_sensor', 'hrv']"", ""['skin_temperature', 'light_sleep', 'blood_sugar']""]"
anxiety,sequential,cylindrical,3,9,0.6508058506678753,-1287.6607730122792,2593.3215460245583,"[""['rem_sleep', 'walk', 'body_temperature']"", ""['oxygen_saturation', 'stick_sensor', 'hrv']"", ""['skin_temperature', 'light_sleep', 'blood_sugar']""]"
anxiety,pca,polar,3,6,0.6591585194675655,-1287.5595118340334,2587.119023668067,"[""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['rem_sleep', 'light_sleep', 'walk']"", ""['hrv', 'oxygen_saturation', 'heart_beat']""]"
anxiety,pca,spherical,3,9,0.6474194392280689,-1287.447118566987,2592.894237133974,"[""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['rem_sleep', 'light_sleep', 'walk']"", ""['hrv', 'oxygen_saturation', 'heart_beat']""]"
anxiety,pca,cylindrical,3,9,0.6840337313673028,-1287.4965985098593,2592.9931970197185,"[""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['rem_sleep', 'light_sleep', 'walk']"", ""['hrv', 'oxygen_saturation', 'heart_beat']""]"
anxiety,correlation,polar,3,6,0.6209200190005213,-1287.7752633927519,2587.5505267855037,"[""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['heart_beat', 'rem_sleep', 'light_sleep']"", ""['walk', 'hrv', 'oxygen_saturation']""]"
anxiety,correlation,spherical,3,9,0.6660264810047264,-1287.7338705473717,2593.4677410947434,"[""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['heart_beat', 'rem_sleep', 'light_sleep']"", ""['walk', 'hrv', 'oxygen_saturation']""]"
anxiety,correlation,cylindrical,3,9,0.6554581213040235,-1287.713146962335,2593.42629392467,"[""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['heart_beat', 'rem_sleep', 'light_sleep']"", ""['walk', 'hrv', 'oxygen_saturation']""]"
anxiety,hybrid,polar,3,6,0.6591585194675655,-1287.5595118340334,2587.119023668067,"[""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['rem_sleep', 'light_sleep', 'walk']"", ""['hrv', 'oxygen_saturation', 'heart_beat']""]"
anxiety,hybrid,spherical,3,9,0.6474194392280689,-1287.447118566987,2592.894237133974,"[""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['rem_sleep', 'light_sleep', 'walk']"", ""['hrv', 'oxygen_saturation', 'heart_beat']""]"
anxiety,hybrid,cylindrical,3,9,0.6840337313673028,-1287.4965985098593,2592.9931970197185,"[""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['rem_sleep', 'light_sleep', 'walk']"", ""['hrv', 'oxygen_saturation', 'heart_beat']""]"
depression,sequential,polar,5,10,0.6561916016992425,-1195.5125344148435,2411.025068829687,"[""['rem_sleep', 'body_temperature']"", ""['hrv', 'total_sleep']"", ""['skin_temperature', 'stick_sensor']"", ""['deep_sleep', 'light_sleep']"", ""['blood_sugar', 'walk']""]"
depression,sequential,spherical,3,9,0.6578603125806061,-1195.1872492730222,2408.3744985460444,"[""['rem_sleep', 'body_temperature', 'hrv']"", ""['total_sleep', 'skin_temperature', 'stick_sensor']"", ""['deep_sleep', 'light_sleep', 'blood_sugar']""]"
depression,sequential,cylindrical,3,9,0.6568654029384051,-1193.654760436846,2405.309520873692,"[""['rem_sleep', 'body_temperature', 'hrv']"", ""['total_sleep', 'skin_temperature', 'stick_sensor']"", ""['deep_sleep', 'light_sleep', 'blood_sugar']""]"
depression,pca,polar,3,6,0.665285286391847,-1193.1021871061425,2398.204374212285,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['walk', 'hrv', 'stick_sensor']""]"
depression,pca,spherical,3,9,0.6942521595856123,-1190.076532861472,2398.153065722944,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['walk', 'hrv', 'stick_sensor']""]"
depression,pca,cylindrical,3,9,0.6872588396932099,-1190.6209984838356,2399.241996967671,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['walk', 'hrv', 'stick_sensor']""]"
depression,correlation,polar,3,6,0.6460108861012702,-1193.1991796534185,2398.398359306837,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['deep_sleep', 'stick_sensor', 'hrv']""]"
depression,correlation,spherical,3,9,0.6847899898403407,-1190.251019385769,2398.502038771538,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['deep_sleep', 'stick_sensor', 'hrv']""]"
depression,correlation,cylindrical,3,9,0.670677012323193,-1190.6541397142703,2399.3082794285406,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['deep_sleep', 'stick_sensor', 'hrv']""]"
depression,hybrid,polar,3,6,0.665285286391847,-1193.1021871061425,2398.204374212285,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['walk', 'hrv', 'stick_sensor']""]"
